[23:02:49] [main/INFO]: Setting user: Player814
[23:02:50] [Client thread/INFO]: LWJGL Version: 2.9.1
[23:02:53] [Client thread/INFO]: Reloading ResourceManager: Default, FMLFileResourcePack:Forge Mod Loader, FMLFileResourcePack:Minecraft Forge, FMLFileResourcePack:Accelerator Mod
[23:02:53] [Sound Library Loader/INFO]: Sound engine started
[23:02:54] [Client thread/INFO]: Created: 512x256 textures/blocks-atlas
[23:02:54] [Client thread/INFO]: Created: 256x256 textures/items-atlas
[23:02:54] [Client thread/INFO]: Reloading ResourceManager: Default, FMLFileResourcePack:Forge Mod Loader, FMLFileResourcePack:Minecraft Forge, FMLFileResourcePack:Accelerator Mod
[23:02:54] [Client thread/INFO]: Created: 512x256 textures/blocks-atlas
[23:02:54] [Client thread/INFO]: Created: 256x256 textures/items-atlas
[23:02:55] [Sound Library Loader/INFO]: Sound engine started
[23:02:57] [Server thread/INFO]: Starting integrated minecraft server version 1.7.10
[23:02:57] [Server thread/INFO]: Generating keypair
[23:02:57] [Server thread/INFO]: Preparing start region for level 0
[23:02:58] [Server thread/INFO]: Changing view distance to 12, from 10
[23:02:58] [Server thread/INFO]: Player814[local:E:599a81fb] logged in with entity id 253 at (-49.021800898186626, 4.0, 1541.6423767648903)
[23:02:58] [Server thread/INFO]: Player814 joined the game
[23:02:58] [Server thread/INFO]: [CHAT] 256
[23:02:58] [Server thread/INFO]: [CHAT] 255
[23:02:58] [Server thread/INFO]: [CHAT] 255
[23:02:58] [Server thread/INFO]: [CHAT] 255
[23:02:58] [Server thread/INFO]: [CHAT] 255
[23:02:58] [Server thread/INFO]: [CHAT] 255
[23:02:58] [Server thread/INFO]: [CHAT] 255
[23:02:59] [Server thread/INFO]: [CHAT] 255
[23:02:59] [Server thread/INFO]: [CHAT] 255
[23:02:59] [Server thread/INFO]: [CHAT] 255
[23:02:59] [Server thread/INFO]: [CHAT] 255
[23:02:59] [Server thread/INFO]: [CHAT] 255
[23:02:59] [Server thread/INFO]: [CHAT] 255
[23:02:59] [Server thread/INFO]: [CHAT] 255
[23:02:59] [Server thread/INFO]: [CHAT] 255
[23:02:59] [Server thread/INFO]: [CHAT] 255
[23:02:59] [Server thread/INFO]: [CHAT] 255
[23:02:59] [Server thread/INFO]: [CHAT] 255
[23:02:59] [Server thread/INFO]: [CHAT] 255
[23:02:59] [Server thread/INFO]: [CHAT] 255
[23:02:59] [Server thread/INFO]: [CHAT] 255
[23:02:59] [Server thread/INFO]: [CHAT] 255
[23:02:59] [Server thread/INFO]: [CHAT] 255
[23:02:59] [Server thread/INFO]: [CHAT] 255
[23:02:59] [Server thread/INFO]: [CHAT] 255
[23:02:59] [Server thread/INFO]: [CHAT] 255
[23:03:00] [Server thread/INFO]: [CHAT] 255
[23:03:00] [Server thread/INFO]: [CHAT] 255
[23:03:00] [Server thread/INFO]: [CHAT] 255
[23:03:00] [Server thread/INFO]: [CHAT] 255
[23:03:00] [Server thread/INFO]: [CHAT] 255
[23:03:00] [Server thread/INFO]: [CHAT] 255
[23:03:00] [Server thread/INFO]: [CHAT] 255
[23:03:00] [Server thread/INFO]: [CHAT] 255
[23:03:00] [Server thread/INFO]: [CHAT] 255
[23:03:00] [Server thread/INFO]: [CHAT] 255
[23:03:00] [Server thread/INFO]: [CHAT] 255
[23:03:00] [Server thread/INFO]: [CHAT] 255
[23:03:00] [Server thread/INFO]: [CHAT] 255
[23:03:00] [Server thread/INFO]: [CHAT] 255
[23:03:00] [Server thread/INFO]: [CHAT] 255
[23:03:00] [Server thread/INFO]: [CHAT] 255
[23:03:00] [Server thread/INFO]: [CHAT] 255
[23:03:00] [Server thread/INFO]: [CHAT] 255
[23:03:01] [Server thread/INFO]: [CHAT] 255
[23:03:01] [Server thread/INFO]: [CHAT] 255
[23:03:01] [Server thread/INFO]: [CHAT] 255
[23:03:01] [Server thread/INFO]: [CHAT] 255
[23:03:01] [Server thread/INFO]: [CHAT] 255
[23:03:01] [Server thread/INFO]: [CHAT] 255
[23:03:01] [Server thread/INFO]: [CHAT] 255
[23:03:01] [Server thread/INFO]: [CHAT] 255
[23:03:01] [Server thread/INFO]: [CHAT] 255
[23:03:01] [Server thread/INFO]: [CHAT] 255
[23:03:01] [Server thread/INFO]: [CHAT] 255
[23:03:01] [Server thread/INFO]: [CHAT] 255
[23:03:01] [Server thread/INFO]: [CHAT] 255
[23:03:01] [Server thread/INFO]: [CHAT] 255
[23:03:01] [Server thread/INFO]: [CHAT] 255
[23:03:01] [Server thread/INFO]: [CHAT] 255
[23:03:01] [Server thread/INFO]: [CHAT] 255
[23:03:02] [Server thread/INFO]: [CHAT] 255
[23:03:02] [Server thread/INFO]: [CHAT] 255
[23:03:02] [Server thread/INFO]: [CHAT] 255
[23:03:02] [Server thread/INFO]: [CHAT] 255
[23:03:02] [Server thread/INFO]: [CHAT] 255
[23:03:02] [Server thread/INFO]: [CHAT] 255
[23:03:02] [Server thread/INFO]: [CHAT] 255
[23:03:02] [Server thread/INFO]: [CHAT] 255
[23:03:02] [Server thread/INFO]: [CHAT] 255
[23:03:02] [Server thread/INFO]: [CHAT] 255
[23:03:02] [Server thread/INFO]: [CHAT] 255
[23:03:02] [Server thread/INFO]: [CHAT] 255
[23:03:02] [Server thread/INFO]: [CHAT] 255
[23:03:02] [Server thread/INFO]: [CHAT] 255
